order_id,customer_id,product_id,session_id,order_date,quantity,unit_selling_price,total_amount,order_status
ORD_002595,CUST_00140,PROD_0037,SESS_002258,2023-03-06,2,499.99,1000,Completed
ORD_001294,CUST_00940,PROD_0035,SESS_004774,2023-09-25,5,399.99,2000,Cancelled
ORD_002662,CUST_00611,PROD_0005,SESS_002993,2023-02-07,1,999,999,Cancelled
ORD_001181,CUST_00668,PROD_0018,SESS_002019,2023-04-23,1,429,429,Cancelled
ORD_000030,CUST_00167,PROD_0020,SESS_003986,2023-11-12,3,349.95,1050,Completed
ORD_001111,CUST_00456,PROD_0022,SESS_001222,2023-09-30,3,349.99,1050,Cancelled
ORD_002832,CUST_00373,PROD_0028,SESS_004434,2023-04-09,3,2499,7497,Refunded
ORD_002783,CUST_00921,PROD_0027,SESS_002840,2023-09-24,4,2498,9992,Cancelled
ORD_002059,CUST_00187,PROD_0030,SESS_003302,2023-03-02,1,759,759,Cancelled
ORD_001700,CUST_00209,PROD_0023,SESS_003682,2023-01-05,5,1699.99,8500,Processing
ORD_000003,CUST_00007,PROD_0035,SESS_004156,2023-12-27,5,399.99,2000,Cancelled
ORD_002385,CUST_00147,PROD_0011,SESS_002718,2023-11-15,2,1499,2998,Completed
ORD_000124,CUST_00145,PROD_0013,SESS_003897,2023-10-13,4,1599.99,6400,Completed
ORD_001022,CUST_999996,PROD_0027,SESS_004270,2023-05-25,1,2498,2498,Processing
ORD_001401,CUST_00868,PROD_0018,SESS_000479,2023-10-22,4,429,1716,Cancelled
ORD_000303,CUST_00645,PROD_0041,SESS_004210,NULL,1,799,799,Processing
ORD_003290,CUST_00852,PROD_0006,SESS_001430,2023-07-16,1,799.99,800,Completed
ORD_002625,CUST_00492,PROD_0020,NULL,2023-06-21,2,349.95,700,Refunded
ORD_002994,CUST_00045,PROD_0003,NULL,2023-06-07,1,1299.99,1300,Refunded
ORD_002433,CUST_00040,PROD_0001,SESS_002715,2023-08-01,4,1199,4796,Processing
ORD_001964,CUST_00672,PROD_0025,SESS_004741,2023-08-31,2,3299,6598,Processing
ORD_000709,CUST_00309,PROD_0041,SESS_000895,2023-10-08,2,799,1598,Refunded
ORD_000319,CUST_00175,PROD_0004,NULL,2023-10-13,2,1799.99,3600,Cancelled
ORD_000638,CUST_00174,PROD_0030,NULL,2023-11-09,3,759,2277,Refunded
ORD_001693,CUST_00161,PROD_0038,SESS_001920,2023-08-01,5,499.99,2500,Completed
ORD_000733,CUST_00100,PROD_0006,SESS_003150,2023-10-25,5,799.99,4000,Cancelled
ORD_000661,CUST_00041,PROD_0023,SESS_002532,2023-10-16,2,1699.99,3400,Cancelled
ORD_000769,CUST_00274,PROD_0042,SESS_001667,2023-06-07,2,749.99,1500,Refunded
ORD_001058,CUST_00173,PROD_0009,SESS_001427,2023-04-24,5,3499,17495,Processing
ORD_000949,CUST_00271,PROD_0032,SESS_002088,2023-05-15,4,129,516,Completed
ORD_001738,CUST_00347,PROD_0033,SESS_002367,2023-01-20,3,799,2397,Processing
ORD_003336,CUST_999997,PROD_0005,SESS_003215,2023-07-13,2,999,1998,Cancelled
ORD_000901,CUST_00875,PROD_0001,NULL,2023-08-23,1,1199,1199,Completed
ORD_002071,CUST_00704,PROD_0013,SESS_004604,2023-11-29,1,1599.99,1600,Completed
ORD_001544,CUST_00135,PROD_0026,SESS_001661,2023-11-08,3,599,1797,Completed
ORD_000316,CUST_00720,PROD_0026,NULL,2023-10-30,1,599,599,Completed
ORD_003423,CUST_999997,PROD_0042,SESS_000203,2023-02-28,3,749.99,2250,Cancelled
ORD_001189,CUST_00040,PROD_0035,NULL,2023-09-16,3,399.99,1200,Processing
ORD_000346,CUST_00265,PROD_0012,SESS_004129,2023-08-09,5,1399.5,6998,Processing
ORD_003288,CUST_00583,PROD_0003,SESS_000784,2023-02-01,1,1299.99,1300,Completed
ORD_001458,CUST_00917,PROD_0042,SESS_001138,2023-01-13,2,749.99,1500,Completed
ORD_002232,CUST_00661,PROD_0020,SESS_001715,2023-04-01,3,349.95,1050,Cancelled
ORD_002467,CUST_00916,PROD_0038,SESS_001738,2023-05-19,4,499.99,2000,Cancelled
ORD_003064,CUST_00169,PROD_0004,SESS_003387,2023-11-20,2,1799.99,3600,Refunded
ORD_002858,CUST_00317,PROD_0031,NULL,2023-11-05,3,399.99,1200,Processing
ORD_002225,CUST_00946,PROD_0011,SESS_001088,2023-08-01,5,1499,7495,Cancelled
ORD_000138,CUST_00149,PROD_0016,NULL,2023-10-31,1,1450,1450,Completed
ORD_003081,CUST_00861,PROD_0039,NULL,2023-04-14,3,229,687,Cancelled
ORD_002833,CUST_00307,PROD_0022,SESS_002686,2023-07-28,4,349.99,1400,Completed
ORD_000915,CUST_00112,PROD_0009,SESS_000632,2023-07-29,4,3499,13996,Completed
ORD_002814,CUST_00779,PROD_0001,SESS_002526,2023-01-01,1,1199,1199,Processing
ORD_002503,CUST_00303,PROD_0018,NULL,2023-08-01,5,429,2145,Cancelled
ORD_001414,CUST_00234,PROD_0021,NULL,2023-11-13,4,229.99,920,Completed
ORD_003001,CUST_00053,PROD_0024,SESS_003045,2023-08-21,5,2499.99,12500,Cancelled
ORD_002695,CUST_00197,PROD_0030,NULL,2023-02-11,5,759,3795,Processing
ORD_003450,CUST_00045,PROD_0035,SESS_001776,2023-04-20,3,399.99,1200,Completed
ORD_001662,CUST_00735,PROD_0021,SESS_000826,2023-05-26,3,229.99,690,Processing
ORD_002804,CUST_00293,PROD_0018,SESS_001221,2023-08-11,2,429,858,Refunded
ORD_001666,CUST_00596,PROD_0021,NULL,NULL,2,229.99,460,Completed
ORD_000669,CUST_00218,PROD_0004,SESS_000397,2023-08-31,4,1799.99,7200,Cancelled
ORD_001930,CUST_00643,PROD_0007,SESS_004149,2023-07-07,1,2498,2498,Completed
ORD_000096,CUST_00353,PROD_0041,SESS_002009,2023-12-19,1,799,799,Cancelled
ORD_002421,CUST_00993,PROD_0032,SESS_002779,2023-06-15,5,129,645,Cancelled
ORD_002792,CUST_00094,PROD_0028,SESS_002999,2023-03-05,2,2499,4998,Cancelled
ORD_002033,CUST_00069,PROD_0002,NULL,2023-02-04,1,799,799,Cancelled
ORD_001510,CUST_00802,PROD_0016,SESS_000155,2023-04-04,4,1450,5800,Cancelled
ORD_001121,CUST_00525,PROD_0038,SESS_004229,2023-05-13,2,499.99,1000,Completed
ORD_001751,CUST_00055,PROD_0042,NULL,2023-08-31,2,749.99,1500,Cancelled
ORD_000505,CUST_00241,PROD_0021,SESS_004658,2023-06-10,5,229.99,1150,Completed
ORD_002010,CUST_00577,PROD_0003,SESS_000949,2023-10-16,3,1299.99,3900,Completed
ORD_001810,CUST_00819,PROD_0023,SESS_001186,2023-02-27,3,1699.99,5100,Refunded
ORD_001461,CUST_00321,PROD_0006,SESS_004720,2023-03-28,5,799.99,4000,Completed
ORD_001146,CUST_00727,PROD_0041,SESS_000647,2023-05-31,1,799,799,Cancelled
ORD_002725,CUST_00618,PROD_0040,SESS_002861,2023-07-31,4,199.99,800,Processing
ORD_001912,CUST_999998,PROD_0005,SESS_004575,2023-09-07,5,999,4995,Processing
ORD_002328,CUST_00468,PROD_0013,SESS_004938,2023-12-18,5,1599.99,8000,Processing
ORD_003200,CUST_00930,PROD_0040,NULL,2023-03-12,3,199.99,600,Refunded
ORD_002909,CUST_00277,PROD_0035,SESS_001636,2023-09-27,5,399.99,2000,Completed
ORD_000120,CUST_00503,PROD_0026,SESS_001607,2023-07-30,5,599,2995,Completed
ORD_001683,CUST_00713,PROD_0005,SESS_002976,2023-08-15,3,999,2997,Refunded
ORD_003325,CUST_00309,PROD_0015,SESS_004289,2023-05-19,1,2699.99,2700,Cancelled
ORD_001995,CUST_00842,PROD_0015,SESS_003885,2023-04-10,1,2699.99,2700,Cancelled
ORD_003491,CUST_00044,PROD_0020,SESS_003839,2023-12-27,3,349.95,1050,Completed
ORD_000337,CUST_00263,PROD_0007,SESS_002533,2023-09-13,2,2498,4996,Refunded
ORD_002205,CUST_00473,PROD_0039,SESS_001553,2023-05-14,5,229,1145,Cancelled
ORD_003073,CUST_00444,PROD_0021,SESS_000603,2023-07-24,4,229.99,920,Cancelled
ORD_003259,CUST_00974,PROD_0021,SESS_003592,2023-10-14,3,229.99,690,Completed
ORD_002368,CUST_00136,PROD_0022,SESS_001006,2023-11-08,3,349.99,1050,Refunded
ORD_001236,CUST_00097,PROD_0026,SESS_002329,2023-04-09,1,599,599,Processing
ORD_001649,CUST_00998,PROD_0032,SESS_000300,2023-10-05,2,129,258,Completed
ORD_001419,CUST_00321,PROD_0014,SESS_004158,2023-02-05,2,1249,2498,Completed
ORD_003305,CUST_00750,PROD_0031,NULL,2023-07-31,4,399.99,1600,Completed
ORD_001475,CUST_00795,PROD_0018,SESS_000107,2023-09-04,2,429,858,Processing
ORD_000500,CUST_00647,PROD_0041,SESS_004451,2023-11-27,1,799,799,Cancelled
ORD_000081,CUST_00049,PROD_0001,SESS_004992,2023-11-30,2,1199,2398,Completed
ORD_001035,CUST_00089,PROD_0018,SESS_002820,2023-01-02,2,429,858,Completed
ORD_001876,CUST_00487,PROD_0024,NULL,2023-01-15,2,2499.99,5000,Cancelled
ORD_000875,CUST_00585,PROD_0036,SESS_002830,2023-12-14,5,199.99,1000,Completed
ORD_002208,CUST_00246,PROD_0025,SESS_000299,2023-02-05,4,3299,13196,Cancelled
ORD_002600,CUST_00703,PROD_0011,SESS_004113,2023-06-16,4,1499,5996,Cancelled
ORD_001012,CUST_00941,PROD_0026,SESS_001649,2023-08-08,2,599,1198,Processing
ORD_000796,CUST_00234,PROD_0019,NULL,2023-03-16,1,249,249,Completed
ORD_001586,CUST_00161,PROD_0024,SESS_002278,2023-02-19,1,2499.99,2500,Completed
ORD_001151,CUST_00257,PROD_0007,NULL,2023-03-28,4,2498,9992,Refunded
ORD_002652,CUST_00732,PROD_0043,NULL,2023-12-04,2,2199,4398,Refunded
ORD_001881,CUST_00435,PROD_0031,SESS_003581,2023-02-11,2,399.99,800,Completed
ORD_001023,CUST_999991,PROD_0018,SESS_003110,2023-12-03,4,429,1716,Completed
ORD_001667,CUST_00509,PROD_0033,SESS_002132,2023-03-17,4,799,3196,Cancelled
ORD_002524,CUST_00849,PROD_0006,SESS_002728,2023-04-19,4,799.99,3200,Refunded
ORD_001740,CUST_999995,PROD_0013,SESS_004509,2023-09-13,2,1599.99,3200,Completed
ORD_000089,CUST_00865,PROD_0004,SESS_002158,2023-11-22,4,1799.99,7200,Completed
ORD_003264,CUST_00411,PROD_0020,SESS_004950,2023-09-11,2,349.95,700,Completed
ORD_001647,CUST_00453,PROD_0014,SESS_001160,2023-10-12,4,1249,4996,Cancelled
ORD_001609,CUST_00944,PROD_0021,NULL,2023-05-31,5,229.99,1150,Completed
ORD_003222,CUST_00713,PROD_0008,SESS_000559,2023-06-17,1,699,699,Completed
ORD_000054,CUST_00416,PROD_0026,SESS_004382,2023-01-25,1,599,599,Refunded
ORD_001588,CUST_00228,PROD_0015,SESS_002969,2023-09-03,2,2699.99,5400,Refunded
ORD_000815,CUST_00681,PROD_0023,NULL,2023-08-19,2,1699.99,3400,Cancelled
ORD_002042,CUST_00738,PROD_0019,NULL,2023-10-11,1,249,249,Completed
ORD_001742,CUST_00289,PROD_0040,SESS_004971,2023-11-03,4,199.99,800,Processing
ORD_000077,CUST_00989,PROD_0001,NULL,2023-10-16,1,1199,1199,Processing
ORD_002682,CUST_00093,PROD_0010,SESS_002209,2023-09-01,3,1299,3897,Cancelled
ORD_002937,CUST_999992,PROD_0036,SESS_001998,NULL,5,199.99,1000,Completed
ORD_001229,CUST_00586,PROD_0041,SESS_003199,2023-12-18,5,799,3995,Processing
ORD_001672,CUST_00676,PROD_0009,SESS_004235,2023-02-26,1,3499,3499,Processing
ORD_001673,CUST_00443,PROD_0013,SESS_001236,2023-02-04,4,1599.99,6400,Cancelled
ORD_001853,CUST_00467,PROD_0026,SESS_001379,2023-12-14,3,599,1797,Completed
ORD_000023,CUST_00084,PROD_0041,NULL,2023-08-27,2,799,1598,Refunded
ORD_002128,CUST_00412,PROD_0019,SESS_002941,2023-05-27,5,249,1245,Processing
ORD_002409,CUST_00655,PROD_0018,SESS_004783,2023-09-27,2,429,858,Refunded
ORD_001815,CUST_00923,PROD_0011,SESS_004417,2023-01-04,1,1499,1499,Refunded
ORD_000170,CUST_00836,PROD_0012,SESS_002192,2023-10-05,3,1399.5,4198,Refunded
ORD_002136,CUST_00562,PROD_0022,SESS_001827,2023-02-01,2,349.99,700,Cancelled
ORD_000033,CUST_00947,PROD_0036,SESS_004752,2023-06-17,2,199.99,400,Completed
ORD_003005,CUST_00728,PROD_0019,SESS_004810,2023-07-21,2,249,498,Completed
ORD_002007,CUST_00098,PROD_0024,SESS_001301,2023-03-13,5,2499.99,12500,Completed
ORD_002220,CUST_00023,PROD_0013,SESS_001896,2023-06-04,1,1599.99,1600,Refunded
ORD_002389,CUST_00287,PROD_0019,SESS_003388,2023-12-16,5,249,1245,Completed
ORD_003338,CUST_00450,PROD_0019,SESS_002864,2023-07-10,3,249,747,Cancelled
ORD_001287,CUST_00467,PROD_0003,SESS_001507,2023-08-05,1,1299.99,1300,Completed
ORD_002767,CUST_00784,PROD_0028,SESS_002079,2023-06-06,5,2499,12495,Completed
ORD_003465,CUST_00936,PROD_0009,SESS_001034,2023-04-13,4,3499,13996,Cancelled
ORD_003357,CUST_00410,PROD_0003,NULL,2023-10-05,3,1299.99,3900,Cancelled
ORD_002374,CUST_00313,PROD_0013,SESS_000922,2023-05-15,5,1599.99,8000,Processing
ORD_001948,CUST_00316,PROD_0029,NULL,2023-12-24,5,3996.95,19985,Cancelled
ORD_001055,CUST_00917,PROD_0008,SESS_003753,2023-12-04,5,699,3495,Completed
ORD_000145,CUST_00096,PROD_0036,SESS_001920,2023-06-20,2,199.99,400,Completed
ORD_002673,CUST_00822,PROD_0006,SESS_001482,2023-07-27,5,799.99,4000,Cancelled
ORD_000855,CUST_00712,PROD_0024,SESS_002062,2023-04-03,1,2499.99,2500,Cancelled
ORD_000980,CUST_00864,PROD_0039,SESS_004867,2023-10-30,2,229,458,Processing
ORD_002707,CUST_00052,PROD_0006,SESS_000180,2023-10-23,2,799.99,1600,Processing
ORD_003280,CUST_00332,PROD_0026,SESS_000659,2023-05-25,2,599,1198,Cancelled
ORD_003489,CUST_00966,PROD_0038,SESS_003921,2023-07-17,3,499.99,1500,Cancelled
ORD_002203,CUST_00388,PROD_0016,SESS_000107,2023-12-08,5,1450,7250,Cancelled
ORD_001668,CUST_00501,PROD_0009,SESS_001007,2023-12-22,1,3499,3499,Completed
ORD_001316,CUST_00721,PROD_0030,SESS_003079,2023-08-20,1,759,759,Cancelled
ORD_002749,CUST_00150,PROD_0032,NULL,2023-12-07,2,129,258,Processing
ORD_003397,CUST_00455,PROD_0027,SESS_004704,2023-10-01,2,2498,4996,Refunded
ORD_000489,CUST_00174,PROD_0043,SESS_001116,2023-07-04,5,2199,10995,Completed
ORD_000458,CUST_00613,PROD_0018,SESS_000644,2023-09-22,1,429,429,Completed
ORD_001547,CUST_00739,PROD_0013,SESS_004756,2023-05-25,3,1599.99,4800,Completed
ORD_002355,CUST_00417,PROD_0012,SESS_000380,2023-04-15,2,1399.5,2799,Cancelled
ORD_002303,CUST_00751,PROD_0009,NULL,2023-07-26,2,3499,6998,Refunded
ORD_002618,CUST_00693,PROD_0013,SESS_004793,2023-10-07,1,1599.99,1600,Cancelled
ORD_001257,CUST_00689,PROD_0010,SESS_001155,2023-10-06,2,1299,2598,Completed
ORD_003355,CUST_00424,PROD_0024,SESS_004466,2023-03-03,3,2499.99,7500,Processing
ORD_000268,CUST_00214,PROD_0018,SESS_001604,2023-03-31,3,429,1287,Cancelled
ORD_002542,CUST_00754,PROD_0014,SESS_003075,2023-10-15,1,1249,1249,Cancelled
ORD_003203,CUST_00483,PROD_0032,SESS_003283,2023-03-20,4,129,516,Cancelled
ORD_001143,CUST_00781,PROD_0005,SESS_000491,2023-12-31,1,999,999,Processing
ORD_001128,CUST_00160,PROD_0012,SESS_001492,2023-07-06,3,1399.5,4198,Cancelled
ORD_003071,CUST_00786,PROD_0025,SESS_004744,2023-10-01,5,3299,16495,Completed
ORD_001418,CUST_00535,PROD_0037,SESS_000696,2023-01-29,4,499.99,2000,Refunded
ORD_000448,CUST_00487,PROD_0013,SESS_002286,2023-08-28,2,1599.99,3200,Completed
ORD_003302,CUST_00933,PROD_0024,SESS_004632,2023-10-01,4,2499.99,10000,Cancelled
ORD_001977,CUST_00645,PROD_0030,NULL,2023-07-29,4,759,3036,Refunded
ORD_003150,CUST_00049,PROD_0014,SESS_002304,2023-01-28,3,1249,3747,Refunded
ORD_001495,CUST_00357,PROD_0003,SESS_002049,2023-09-01,3,1299.99,3900,Cancelled
ORD_002066,CUST_00403,PROD_0019,SESS_001640,2023-05-06,1,249,249,Refunded
ORD_000654,CUST_00344,PROD_0012,NULL,2023-08-31,5,1399.5,6998,Completed
ORD_002343,CUST_00061,PROD_0016,SESS_000108,2023-09-27,2,1450,2900,Completed
ORD_002073,CUST_00431,PROD_0029,NULL,2023-08-28,4,3996.95,15988,Completed
ORD_001295,CUST_00782,PROD_0001,SESS_001766,2023-10-03,4,1199,4796,Processing
ORD_000975,CUST_00574,PROD_0039,SESS_001708,2023-06-18,3,229,687,Completed
ORD_002516,CUST_00313,PROD_0006,SESS_003283,2023-04-28,2,799.99,1600,Cancelled
ORD_001377,CUST_00182,PROD_0020,SESS_004186,2023-12-18,4,349.95,1400,Completed
ORD_002879,CUST_00267,PROD_0028,SESS_000485,2023-01-05,3,2499,7497,Cancelled
ORD_002782,CUST_00972,PROD_0011,SESS_003915,2023-04-28,5,1499,7495,Refunded
ORD_000775,CUST_00890,PROD_0001,SESS_004034,2023-07-07,1,1199,1199,Completed
ORD_000696,CUST_00935,PROD_0023,SESS_001784,2023-02-01,4,1699.99,6800,Completed
ORD_000266,CUST_00137,PROD_0020,NULL,2023-06-01,4,349.95,1400,Cancelled
ORD_002330,CUST_00942,PROD_0024,SESS_000839,2023-08-22,3,2499.99,7500,Completed
ORD_001454,CUST_00842,PROD_0013,SESS_000757,2023-04-29,1,1599.99,1600,Refunded
