session_id,customer_id,campaign_id,visit_date,device_type,duration_sec,bounced
SESS_000106,CUST_00134,NULL,2023-07-05,Tablet,1088,TRUE
SESS_000107,NULL,NULL,2023-02-24,Mobile,251,FALSE
SESS_000108,CUST_00198,CAMP_02,2023-02-08,Desktop,707,FALSE
SESS_000109,CUST_00158,NULL,2023-04-09,Mobile,1132,TRUE
SESS_000110,CUST_00917,NULL,2023-11-19,Tablet,245,FALSE
SESS_000111,CUST_00976,CAMP_01,2023-03-27,Desktop,566,TRUE
SESS_000112,CUST_00063,CAMP_04,2023-07-23,Mobile,1095,FALSE
SESS_000113,CUST_00522,NULL,2023-07-19,Mobile,0,TRUE
SESS_000114,NULL,CAMP_09,2023-08-22,Desktop,1080,TRUE
SESS_000115,CUST_00566,NULL,2023-04-25,Desktop,0,FALSE
SESS_000116,CUST_00285,CAMP_05,2023-01-27,Tablet,514,TRUE
SESS_000117,NULL,NULL,2023-11-06,Tablet,669,TRUE
SESS_000118,NULL,NULL,2023-11-10,Tablet,669,TRUE
SESS_000119,CUST_00225,CAMP_05,2023-04-01,Tablet,37,TRUE
SESS_000120,NULL,CAMP_07,2023-12-01,Tablet,1133,TRUE
SESS_000121,NULL,CAMP_07,2023-03-21,Mobile,479,FALSE
SESS_000122,CUST_00096,NULL,2023-08-24,Mobile,365,FALSE
SESS_000123,NULL,NULL,2023-06-08,Mobile,368,FALSE
SESS_000124,NULL,NULL,2023-05-06,Mobile,829,FALSE
SESS_000125,CUST_00013,CAMP_07,2023-07-16,Desktop,230,FALSE
SESS_000126,CUST_00136,NULL,2023-02-12,Tablet,297,TRUE
SESS_000127,CUST_00109,CAMP_06,2023-12-29,Desktop,419,FALSE
SESS_000128,CUST_00315,NULL,2023-03-21,Mobile,119,TRUE
SESS_000129,NULL,CAMP_02,2023-10-06,Tablet,215,FALSE
SESS_000130,NULL,NULL,2023-04-27,Mobile,794,FALSE
SESS_000131,CUST_00701,NULL,2023-02-27,Mobile,352,TRUE
SESS_000132,CUST_00631,NULL,2023-07-04,Desktop,93,TRUE
SESS_000133,CUST_00186,CAMP_03,2023-12-08,Tablet,622,TRUE
SESS_000134,NULL,NULL,2023-07-08,Tablet,161,FALSE
SESS_000135,CUST_00151,NULL,2023-07-19,Mobile,984,FALSE
SESS_000136,CUST_00286,NULL,2023-06-15,Mobile,377,FALSE
SESS_000137,CUST_00711,CAMP_10,2023-11-22,Tablet,288,FALSE
SESS_000138,CUST_00563,NULL,2023-10-01,Mobile,1095,TRUE
SESS_000139,CUST_00432,CAMP_04,2023-12-26,Desktop,486,TRUE
SESS_000140,CUST_00486,CAMP_02,2023-01-31,Tablet,744,FALSE
SESS_000141,NULL,NULL,2023-10-10,Mobile,501,FALSE
SESS_000142,NULL,CAMP_03,2023-07-13,Tablet,58,TRUE
SESS_000143,CUST_00679,CAMP_08,2023-11-01,Mobile,66,FALSE
SESS_000144,NULL,CAMP_07,2023-03-18,Mobile,967,FALSE
SESS_000145,CUST_00482,NULL,2023-06-22,Mobile,32,FALSE
SESS_000146,NULL,CAMP_09,2023-03-24,Desktop,816,FALSE
SESS_000147,CUST_00850,NULL,2023-10-20,Desktop,631,FALSE
SESS_000148,NULL,NULL,2023-07-13,Mobile,438,FALSE
SESS_000149,NULL,CAMP_09,2023-11-06,Desktop,964,FALSE
SESS_000150,CUST_00169,NULL,2023-07-10,Tablet,873,TRUE
SESS_000151,CUST_00798,CAMP_01,2023-05-03,Tablet,338,TRUE
SESS_000152,NULL,CAMP_04,2023-10-10,Mobile,71,TRUE
SESS_000153,CUST_00578,CAMP_08,2023-01-24,Desktop,649,TRUE
SESS_000154,CUST_00982,NULL,2023-04-10,Tablet,805,FALSE
SESS_000155,CUST_00340,NULL,2023-09-15,Desktop,1033,TRUE
SESS_000156,CUST_00489,CAMP_01,2023-05-29,Mobile,315,FALSE
SESS_000157,NULL,CAMP_04,2023-12-15,Tablet,293,TRUE
SESS_000158,CUST_00747,CAMP_09,2023-06-24,Mobile,273,FALSE
SESS_000159,NULL,CAMP_07,2023-05-03,Mobile,158,FALSE
SESS_000160,NULL,NULL,2023-06-08,Desktop,183,FALSE
SESS_000161,CUST_00166,NULL,2023-10-23,Tablet,728,FALSE
SESS_000162,NULL,NULL,2023-05-12,Mobile,292,FALSE
SESS_000163,NULL,CAMP_07,2023-07-29,Desktop,269,TRUE
SESS_000164,CUST_00383,NULL,2023-07-31,Desktop,926,FALSE
SESS_000165,NULL,CAMP_01,2023-05-06,Tablet,972,TRUE
SESS_000166,NULL,NULL,2023-07-24,Desktop,461,TRUE
SESS_000167,CUST_00480,CAMP_08,2023-02-25,Desktop,374,FALSE
SESS_000168,CUST_00205,NULL,2023-02-03,Tablet,706,FALSE
SESS_000169,CUST_00118,NULL,2023-01-20,Desktop,323,FALSE
SESS_000170,CUST_00033,CAMP_07,2023-02-01,Tablet,885,FALSE
SESS_000171,CUST_00976,CAMP_07,2023-05-19,Tablet,365,FALSE
SESS_000172,NULL,CAMP_08,2023-08-03,Desktop,443,TRUE
SESS_000173,NULL,CAMP_06,2023-06-02,Mobile,411,FALSE
SESS_000174,CUST_00803,NULL,2023-12-23,Mobile,731,TRUE
SESS_000175,CUST_00916,CAMP_02,2023-12-08,Desktop,301,FALSE
SESS_000176,CUST_00755,CAMP_01,2023-03-19,Mobile,307,FALSE
SESS_000177,CUST_00534,CAMP_08,2023-03-06,Tablet,925,TRUE
SESS_000178,NULL,CAMP_07,2023-12-23,Desktop,345,FALSE
SESS_000179,CUST_00996,CAMP_01,2023-07-09,Tablet,38,TRUE
SESS_000180,CUST_00665,CAMP_07,2023-07-30,Tablet,726,TRUE
SESS_000181,NULL,NULL,2023-08-08,Tablet,367,FALSE
SESS_000182,CUST_00866,CAMP_07,2023-11-21,Tablet,208,TRUE
SESS_000183,NULL,NULL,2023-07-30,Desktop,1021,TRUE
SESS_000184,NULL,NULL,2023-10-25,Desktop,598,FALSE
SESS_000185,CUST_00118,NULL,2023-08-29,Desktop,723,FALSE
SESS_000186,CUST_00661,CAMP_07,2023-01-04,Tablet,463,FALSE
SESS_000187,NULL,CAMP_07,2023-12-11,Mobile,13,TRUE
SESS_000188,NULL,CAMP_09,2023-11-04,Tablet,691,FALSE
SESS_000189,NULL,CAMP_04,2023-11-12,Tablet,810,TRUE
SESS_000190,CUST_00962,CAMP_03,2023-07-26,Tablet,1064,FALSE
SESS_000191,CUST_00517,NULL,2023-10-23,Mobile,537,TRUE
SESS_000192,NULL,NULL,2023-08-12,Desktop,318,TRUE
SESS_000193,CUST_00026,CAMP_03,2023-08-21,Tablet,738,FALSE
SESS_000194,NULL,CAMP_04,2023-07-13,Tablet,110,FALSE
SESS_000195,NULL,CAMP_02,2023-02-26,Mobile,256,FALSE
SESS_000196,NULL,NULL,2023-07-05,Mobile,805,FALSE
SESS_000197,NULL,CAMP_02,2023-04-18,Tablet,864,FALSE
SESS_000198,CUST_00185,NULL,2023-04-02,Tablet,1166,TRUE
SESS_000199,CUST_00356,NULL,2023-11-11,Desktop,1006,TRUE
SESS_000200,CUST_00949,NULL,2023-11-07,Desktop,1102,FALSE
SESS_000201,NULL,NULL,2023-04-22,Desktop,675,FALSE
SESS_000202,CUST_00275,NULL,2023-04-13,Desktop,718,FALSE
SESS_000203,CUST_00508,NULL,2023-07-24,Mobile,517,FALSE
SESS_000204,NULL,NULL,2023-10-26,Desktop,643,FALSE
SESS_000205,CUST_00905,NULL,2023-11-02,Tablet,561,TRUE
SESS_000206,CUST_00205,CAMP_06,2023-11-20,Desktop,0,TRUE
SESS_000207,NULL,NULL,2023-11-06,Tablet,0,FALSE
SESS_000208,CUST_00440,CAMP_06,2023-05-06,Desktop,445,TRUE
SESS_000209,NULL,NULL,2023-01-06,Tablet,678,TRUE
SESS_000210,CUST_00576,NULL,2023-05-26,Desktop,439,TRUE
SESS_000211,CUST_00969,CAMP_02,2023-10-21,Tablet,868,TRUE
SESS_000212,NULL,NULL,2023-09-10,Mobile,100,TRUE
SESS_000213,CUST_00616,NULL,2023-07-16,Mobile,0,TRUE
SESS_000214,CUST_00934,NULL,2023-03-09,Mobile,80,TRUE
SESS_000215,CUST_00017,NULL,2023-02-18,Mobile,621,FALSE
SESS_000216,NULL,CAMP_08,2023-11-10,Desktop,810,FALSE
SESS_000217,CUST_00991,CAMP_06,2023-11-13,Desktop,64,FALSE
SESS_000218,NULL,NULL,2023-12-19,Tablet,897,FALSE
SESS_000219,CUST_00378,CAMP_09,2023-01-03,Tablet,112,TRUE
SESS_000220,NULL,NULL,2023-05-16,Tablet,782,FALSE
SESS_000221,CUST_00123,NULL,2023-03-17,Desktop,851,TRUE
SESS_000222,CUST_00592,NULL,2023-09-08,Tablet,664,TRUE
SESS_000223,NULL,NULL,2023-02-12,Tablet,1148,FALSE
SESS_000224,CUST_00211,CAMP_02,2023-09-11,Desktop,1197,FALSE
SESS_000225,CUST_00395,NULL,2023-02-23,Tablet,432,TRUE
SESS_000226,CUST_00779,CAMP_08,2023-12-02,Mobile,1038,TRUE
SESS_000227,CUST_00464,CAMP_09,2023-04-14,Mobile,389,FALSE
SESS_000228,CUST_00891,CAMP_02,2023-03-17,Mobile,224,FALSE
SESS_000229,NULL,NULL,2023-12-05,Desktop,932,TRUE
SESS_000230,NULL,NULL,2023-03-19,Mobile,1033,FALSE
SESS_000231,NULL,NULL,2023-11-29,Mobile,870,FALSE
SESS_000232,CUST_00543,CAMP_09,2023-08-10,Desktop,107,FALSE
SESS_000233,NULL,CAMP_10,2023-05-17,Mobile,139,TRUE
SESS_000234,CUST_00415,NULL,2023-02-21,Mobile,554,FALSE
SESS_000235,CUST_00295,CAMP_05,2023-01-02,Desktop,384,FALSE
SESS_000236,CUST_00874,CAMP_04,2023-03-29,Tablet,147,FALSE
SESS_000237,NULL,NULL,2023-08-31,Mobile,689,TRUE
SESS_000238,NULL,CAMP_01,2023-11-01,Tablet,975,FALSE
SESS_000239,CUST_00047,CAMP_10,2023-12-15,Tablet,472,FALSE
SESS_000240,CUST_00103,NULL,2023-06-21,Mobile,1009,TRUE
SESS_000241,CUST_00260,NULL,2023-01-07,Tablet,621,FALSE
SESS_000242,CUST_00924,CAMP_08,2023-02-27,Tablet,0,FALSE
SESS_000243,CUST_00676,CAMP_06,2023-09-12,Desktop,505,FALSE
SESS_000244,CUST_00763,NULL,2023-07-13,Tablet,226,FALSE
SESS_000245,CUST_00935,NULL,2023-09-27,Mobile,548,TRUE
SESS_000246,CUST_00428,CAMP_05,2023-06-08,Mobile,89,TRUE
SESS_000247,NULL,CAMP_10,2023-06-27,Tablet,230,FALSE
SESS_000248,NULL,CAMP_09,2023-05-29,Desktop,1148,TRUE
SESS_000249,NULL,NULL,2023-08-21,Desktop,450,TRUE
SESS_000250,CUST_00006,NULL,2023-12-05,Desktop,107,TRUE
SESS_000251,CUST_00515,CAMP_09,2023-03-21,Desktop,559,FALSE
SESS_000252,CUST_00083,NULL,2023-01-17,Mobile,731,FALSE
SESS_000253,CUST_00991,CAMP_05,2023-06-04,Desktop,641,TRUE
SESS_000254,CUST_00143,CAMP_04,2023-05-09,Mobile,857,TRUE
SESS_000255,NULL,CAMP_08,2023-10-07,Mobile,774,TRUE
SESS_000256,NULL,NULL,2023-06-10,Desktop,737,FALSE
SESS_000257,CUST_00473,NULL,2023-10-14,Desktop,867,TRUE
SESS_000258,CUST_00595,CAMP_03,2023-11-14,Desktop,1163,FALSE
SESS_000259,NULL,CAMP_08,2023-09-23,Mobile,116,FALSE
SESS_000260,NULL,CAMP_05,2023-10-17,Mobile,683,TRUE
SESS_000261,CUST_00758,CAMP_04,2023-09-22,Mobile,1156,FALSE
SESS_000262,CUST_00656,CAMP_05,2023-11-18,Tablet,18,FALSE
SESS_000263,NULL,NULL,2023-11-06,Desktop,1069,FALSE
SESS_000264,NULL,CAMP_07,2023-01-29,Desktop,619,FALSE
SESS_000265,CUST_00560,NULL,2023-11-10,Tablet,904,FALSE
SESS_000266,NULL,NULL,2023-03-14,Tablet,497,TRUE
SESS_000267,NULL,NULL,2023-05-29,Tablet,209,FALSE
SESS_000268,NULL,NULL,2023-02-24,Mobile,858,TRUE
SESS_000269,CUST_00578,NULL,2023-10-25,Tablet,74,TRUE
SESS_000270,CUST_00930,CAMP_03,2023-08-28,Tablet,943,TRUE
SESS_000271,CUST_00882,CAMP_06,2023-12-28,Desktop,804,FALSE
SESS_000272,CUST_00737,CAMP_08,2023-03-13,Tablet,625,FALSE
SESS_000273,CUST_00986,NULL,2023-12-04,Mobile,1184,FALSE
SESS_000274,CUST_00133,CAMP_10,2023-10-25,Tablet,0,FALSE
SESS_000275,NULL,NULL,2023-02-24,Mobile,980,FALSE
SESS_000276,CUST_00108,CAMP_03,2023-07-16,Mobile,136,TRUE
SESS_000277,CUST_00075,NULL,2023-07-11,Desktop,65,FALSE
SESS_000278,CUST_00137,CAMP_10,2023-10-12,Mobile,405,TRUE
SESS_000279,NULL,CAMP_07,2023-09-28,Mobile,181,FALSE
SESS_000280,NULL,NULL,2023-03-13,Desktop,741,TRUE
SESS_000281,CUST_00699,CAMP_09,2023-09-12,Mobile,429,TRUE
SESS_000282,CUST_00922,CAMP_03,2023-02-04,Mobile,880,TRUE
SESS_000283,NULL,CAMP_05,2023-02-21,Desktop,1026,TRUE
SESS_000284,NULL,CAMP_05,2023-05-09,Mobile,737,TRUE
SESS_000285,NULL,CAMP_09,2023-11-09,Desktop,644,FALSE
SESS_000286,CUST_00597,NULL,2023-05-15,Tablet,66,FALSE
SESS_000287,CUST_00784,NULL,2023-04-15,Desktop,680,TRUE
SESS_000288,NULL,NULL,2023-10-16,Desktop,77,FALSE
SESS_000289,CUST_00628,CAMP_09,2023-09-03,Mobile,559,FALSE
SESS_000290,CUST_00666,NULL,2023-09-02,Tablet,471,FALSE
SESS_000291,CUST_00881,NULL,2023-12-17,Tablet,42,FALSE
SESS_000292,CUST_00441,CAMP_09,2023-03-12,Desktop,901,TRUE
SESS_000293,CUST_00352,NULL,2023-01-30,Mobile,0,FALSE
SESS_000294,CUST_00910,CAMP_09,2023-10-18,Desktop,35,TRUE
SESS_000295,NULL,NULL,2023-04-03,Tablet,94,FALSE
SESS_000296,CUST_00133,CAMP_08,2023-12-03,Desktop,162,FALSE
SESS_000297,CUST_00753,CAMP_04,2023-08-16,Tablet,624,TRUE
SESS_000298,CUST_00251,CAMP_05,2023-06-13,Tablet,1113,FALSE
SESS_000299,CUST_00637,NULL,2023-02-10,Mobile,285,TRUE
SESS_000300,CUST_00216,NULL,2023-03-14,Desktop,486,FALSE
SESS_000301,CUST_00022,NULL,2023-01-18,Tablet,574,TRUE
SESS_000302,NULL,CAMP_07,2023-09-11,Desktop,0,FALSE
SESS_000303,CUST_00676,NULL,2023-01-27,Tablet,629,TRUE
SESS_000304,CUST_00773,CAMP_05,2023-10-30,Mobile,61,FALSE
SESS_000305,CUST_00802,CAMP_01,2023-02-25,Desktop,799,TRUE
SESS_000306,CUST_00961,CAMP_07,2023-10-21,Tablet,1168,FALSE
SESS_000307,CUST_00947,NULL,2023-01-08,Tablet,566,TRUE
SESS_000308,NULL,CAMP_01,2023-11-12,Tablet,745,FALSE
SESS_000309,CUST_00623,NULL,2023-06-07,Desktop,662,FALSE
SESS_000310,CUST_00451,NULL,2023-01-19,Tablet,988,FALSE
SESS_000311,NULL,CAMP_05,2023-11-09,Desktop,648,TRUE
SESS_000312,CUST_00283,NULL,2023-09-11,Mobile,470,TRUE
SESS_000313,CUST_00239,NULL,2023-01-20,Mobile,1042,TRUE
SESS_000314,CUST_00234,NULL,2024-01-01,Tablet,973,TRUE
SESS_000315,CUST_00046,CAMP_06,2023-02-25,Desktop,1043,FALSE
SESS_000316,NULL,CAMP_07,2023-02-06,Tablet,878,TRUE
SESS_000317,CUST_00369,NULL,2023-07-28,Tablet,772,TRUE
SESS_000318,NULL,NULL,2023-05-29,Mobile,57,TRUE
SESS_000319,CUST_00800,CAMP_10,2023-12-31,Tablet,445,FALSE
SESS_000320,CUST_00391,CAMP_02,2023-02-09,Mobile,1162,TRUE
SESS_000321,CUST_00552,CAMP_09,2023-01-27,Desktop,972,TRUE
SESS_000322,NULL,CAMP_05,2023-05-05,Tablet,502,FALSE
SESS_000323,CUST_00767,CAMP_04,2023-08-16,Tablet,844,TRUE
SESS_000324,NULL,NULL,2023-09-05,Desktop,476,TRUE
SESS_000325,CUST_00129,CAMP_04,2023-07-28,Tablet,287,TRUE
SESS_000326,CUST_00084,NULL,2023-09-16,Mobile,1184,FALSE
SESS_000327,CUST_00898,NULL,2023-03-27,Desktop,862,FALSE
SESS_000328,CUST_00130,CAMP_07,2023-01-13,Tablet,346,TRUE
SESS_000329,CUST_00926,NULL,2023-03-07,Mobile,1145,TRUE
SESS_000330,CUST_00920,NULL,2023-11-08,Desktop,0,FALSE
SESS_000331,CUST_00973,NULL,2023-07-29,Tablet,926,FALSE
SESS_000332,CUST_00752,NULL,2023-10-29,Desktop,0,TRUE
SESS_000333,CUST_00665,NULL,2023-06-14,Mobile,366,TRUE
SESS_000334,NULL,NULL,2023-01-25,Desktop,1065,FALSE
SESS_000335,NULL,NULL,2023-04-02,Mobile,90,FALSE
SESS_000336,NULL,CAMP_10,2023-11-12,Tablet,208,TRUE
SESS_000337,NULL,NULL,2023-03-28,Tablet,536,FALSE
SESS_000338,CUST_00145,NULL,2023-10-10,Desktop,350,TRUE
SESS_000339,CUST_00200,NULL,2023-01-14,Tablet,421,FALSE
SESS_000340,CUST_00534,NULL,2023-08-21,Tablet,229,TRUE
SESS_000341,CUST_00443,NULL,2023-02-14,Mobile,575,TRUE
SESS_000342,CUST_00763,CAMP_02,2023-06-17,Mobile,1043,FALSE
SESS_000343,CUST_00796,NULL,2023-12-19,Tablet,83,TRUE
SESS_000344,CUST_00862,CAMP_01,2023-11-21,Tablet,21,FALSE
SESS_000345,CUST_00272,NULL,2023-09-06,Mobile,1022,TRUE
SESS_000346,CUST_00878,CAMP_04,2023-01-02,Mobile,142,FALSE
SESS_000347,NULL,NULL,2023-05-15,Desktop,783,TRUE
SESS_000348,CUST_00673,CAMP_05,2023-04-29,Tablet,998,TRUE
SESS_000349,CUST_00493,NULL,2023-04-23,Desktop,593,FALSE
SESS_000350,CUST_00119,NULL,2023-06-13,Tablet,237,FALSE
SESS_000351,CUST_00496,CAMP_08,2023-11-04,Mobile,485,FALSE
SESS_000352,CUST_00802,NULL,2023-10-15,Tablet,540,FALSE
SESS_000353,CUST_00267,CAMP_05,2023-09-06,Tablet,453,TRUE
SESS_000354,CUST_00227,CAMP_03,2023-10-02,Mobile,230,TRUE
SESS_000355,NULL,CAMP_01,2023-07-14,Desktop,687,TRUE
SESS_000356,NULL,NULL,2023-04-18,Tablet,1101,TRUE
SESS_000357,CUST_00736,NULL,2023-03-24,Tablet,683,FALSE
SESS_000358,CUST_00037,CAMP_09,2023-02-22,Desktop,0,TRUE
SESS_000359,CUST_00236,CAMP_04,2023-01-18,Tablet,258,FALSE
SESS_000360,NULL,CAMP_05,2023-02-13,Desktop,156,FALSE
SESS_000361,CUST_00016,CAMP_09,2023-11-06,Mobile,200,FALSE
SESS_000362,CUST_00880,NULL,2023-06-15,Mobile,1054,FALSE
SESS_000363,NULL,NULL,2023-12-02,Desktop,970,FALSE
SESS_000364,CUST_00575,NULL,2023-05-26,Tablet,1097,FALSE
SESS_000365,CUST_00975,NULL,2023-10-07,Tablet,226,TRUE
SESS_000366,CUST_00238,NULL,2023-09-02,Desktop,228,FALSE
SESS_000367,CUST_00098,CAMP_04,2023-09-08,Desktop,516,FALSE
SESS_000368,CUST_00860,CAMP_04,2023-01-31,Mobile,521,FALSE
SESS_000369,NULL,CAMP_10,2023-07-28,Desktop,554,FALSE
SESS_000370,CUST_00321,CAMP_04,2023-06-14,Mobile,994,FALSE
SESS_000371,NULL,NULL,2023-12-25,Desktop,0,TRUE
